Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Cash flow from operating activities, Trailing 12 months","Cash flow from operating activities, Trailing 12 months - Currency","Cash flow from investing activities, Trailing 12 months","Cash flow from investing activities, Trailing 12 months - Currency","Cash flow from financing activities, Trailing 12 months","Cash flow from financing activities, Trailing 12 months - Currency","Free cash flow, Trailing 12 months","Free cash flow, Trailing 12 months - Currency","Capital expenditures, Trailing 12 months","Capital expenditures, Trailing 12 months - Currency"
PHP,Primary Health Properties PLC,2025-H2,2025-12-31,2335146666.6666665,ZAR,-10418346666.666666,ZAR,8442453333.333333,ZAR,2335146666.6666665,ZAR,0,ZAR
EXX,Exxaro Resources Limited,2025-H2,2025-12-31,11747000000,ZAR,-5234000000,ZAR,-3192000000,ZAR,6648000000,ZAR,5132000000,ZAR
MTM,Momentum Group Limited,2026-H1,2025-12-31,6371000000,ZAR,-894000000,ZAR,-459000000,ZAR,6091000000,ZAR,346000000,ZAR
WHL,Woolworths Holdings Limited,2026-H1,2025-12-31,6492000000,ZAR,-2931000000,ZAR,-3999000000,ZAR,3553000000,ZAR,2939000000,ZAR
SNT,Santam Limited,2025-H2,2025-12-31,2448000000,ZAR,-913000000,ZAR,-1794000000,ZAR,2366000000,ZAR,95000000,ZAR
RDF,Redefine Properties Limited,2026-H1,2026-02-28,3243099000,ZAR,337103000,ZAR,-3719633000,ZAR,3232322000,ZAR,10777000,ZAR
TBS,Tiger Brands Limited,2025-H2,2025-09-30,5828000000,ZAR,2017000000,ZAR,-5970000000,ZAR,4656000000,ZAR,1189000000,ZAR
DRD,DRDGOLD Ltd.,2026-H1,2025-12-31,4537200000,ZAR,-2835300000,ZAR,-628700000,ZAR,1578600000,ZAR,2958600000,ZAR
ARI,African Rainbow Minerals Limited,2026-H1,2025-12-31,7772000000,ZAR,-2794000000,ZAR,-3608000000,ZAR,5152000000,ZAR,2620000000,ZAR
BOX,Boxer Retail Limited,2025-H2,2026-02-28,2488000000,ZAR,-919000000,ZAR,-1457000000,ZAR,1493000000,ZAR,1017000000,ZAR
MRP,Mr Price Group Limited,2025-H1,2025-09-30,8481000000,ZAR,-1547000000,ZAR,-6083000000,ZAR,7433000000,ZAR,1118000000,ZAR
HMN,Hammerson plc,2025-H2,2025-12-31,2319429333.3333335,ZAR,-13094784000,ZAR,1522336000,ZAR,1564997333.3333333,ZAR,754432000,ZAR
SRE,Sirius Real Estate Limited,2025-H1,2025-09-30,2644539755.5927815,ZAR,-7030562059.597264,ZAR,6265601079.4205,ZAR,2521735797.947826,ZAR,122803887.60622191,ZAR
KST,PSG Financial Services Limited,2025-H2,2026-02-28,1334763000,ZAR,-89562000,ZAR,-1299463000,ZAR,1275551000,ZAR,115996000,ZAR
VKE,Vukile Property Fund Limited,2025-H1,2025-09-30,2415000000,ZAR,-9195000000,ZAR,3879000000,ZAR,,,,
DCP,Dis-Chem Pharmacies Limited,2025-H1,2025-08-31,2071141000,ZAR,-1584895000,ZAR,-851412000,ZAR,539098000,ZAR,1532043000,ZAR
AVI,AVI Limited Class Y,2026-H1,2025-12-31,3060800000,ZAR,-375600000,ZAR,-2609800000,ZAR,2678500000,ZAR,388200000,ZAR
PMR,Premier Group Limited,2025-H1,2025-09-30,1951015000,ZAR,-1105417000,ZAR,-752658000,ZAR,995276000,ZAR,996958000,ZAR
TKG,Telkom SA SOC Ltd.,2025-H1,2025-09-30,10587000000,ZAR,947000000,ZAR,-9632000000,ZAR,4091000000,ZAR,6496000000,ZAR
FFB,Fortress Real Estate Investments Limited Class B,2026-H1,2025-12-31,2275037000,ZAR,-2348668000,ZAR,2001243000,ZAR,1098074000,ZAR,1176963000,ZAR
RES,Resilient REIT Limited,2025-H2,2025-12-31,1489547000,ZAR,-196159000,ZAR,-1287508000,ZAR,933479000,ZAR,556068000,ZAR
ADH,ADvTECH Limited,2025-H2,2025-12-31,2046700000,ZAR,-1139200000,ZAR,-1029300000,ZAR,1054700000,ZAR,1028000000,ZAR
PIK,Pick N Pay Stores Limited,2025-H1,2025-08-31,3603600000,ZAR,-1486600000,ZAR,-108000000,ZAR,1764400000,ZAR,2003800000,ZAR
KRO,Karooooo Ltd.,2025-Q4,2026-02-28,1822200665.2692306,ZAR,-1124553466.5973284,ZAR,-655014376.5836202,ZAR,,,,
HYP,Hyprop Investments Limited,2026-H1,2025-12-31,1833492000,ZAR,-530402000.00000006,ZAR,-1176304000,ZAR,1560906000,ZAR,272586000,ZAR
SRI,Supermarket Income REIT Plc,2026-H1,2025-12-31,518245386.6666667,ZAR,-2076192373.3333333,ZAR,1724213920,ZAR,517437066.6666667,ZAR,808320,ZAR
APH,Alphamin Resources Corp.,2026-Q1,2026-03-31,4924697072.139237,ZAR,-390117810.3203852,ZAR,-2643706688.3324547,ZAR,4643939061.260648,ZAR,383622452.9490628,ZAR
OPA,Channel VAS Investments Limited,,,,,,,,,,,,
NTC,Netcare Limited,2025-H2,2025-09-30,3711000000,ZAR,-1667000000,ZAR,-1957000000,ZAR,2208000000,ZAR,1630000000,ZAR
TFG,Foschini Group Limited,2025-H1,2025-09-30,7443600000,ZAR,-3189600000,ZAR,-4146300000,ZAR,5366800000,ZAR,2076800000.0000002,ZAR
TRU,Truworths International Limited,2026-H1,2025-12-31,4343000000,ZAR,-604000000,ZAR,-3956000000,ZAR,3791000000,ZAR,585000000,ZAR
TGA,Thungela Resources Limited,2025-H2,2025-12-31,2750000000,ZAR,-3763000000,ZAR,-2521000000,ZAR,-337000000,ZAR,3123000000,ZAR
BYI,Bytes Technology Group Plc,2025-H2,2026-02-28,1318511269.2307692,ZAR,-127717009.61538461,ZAR,-1502473009.6153846,ZAR,1279286833.3333333,ZAR,127717009.61538461,ZAR
DTC,Datatec Limited,2025-H1,2025-08-31,3436795906.5145802,ZAR,-398506429.976791,ZAR,-1910835944.52776,ZAR,3230802030,ZAR,438360501.606835,ZAR
CML,Coronation Fund Managers Limited,2025-H2,2025-09-30,210000000,ZAR,274000000,ZAR,-1712000000,ZAR,209000000,ZAR,1000000,ZAR
MTH,Motus Holdings Limited,2026-H1,2025-12-31,7418000000,ZAR,-230000000,ZAR,-7390000000,ZAR,6343000000,ZAR,1075000000,ZAR
GCT,Greencoat Renewables Plc,2025-H2,2025-12-31,625269973.6666666,ZAR,2426694261.333333,ZAR,-2442628446.9999995,ZAR,625269973.6666666,ZAR,0,ZAR
LHC,Life Healthcare Group Holdings Limited,2025-H2,2025-09-30,4043000000,ZAR,3872000000,ZAR,-6506000000,ZAR,2405000000,ZAR,1807000000,ZAR
GNDP,Grindrod Ltd Cum.Non-Red.Non-Ptg.Non-Cnv.Pref.Shs,2025-H2,2025-12-31,2038279000,ZAR,1169307000,ZAR,-1282074000,ZAR,1738846000,ZAR,299433000,ZAR
GND,Grindrod Limited,2025-H2,2025-12-31,2038279000,ZAR,1169307000,ZAR,-1282074000,ZAR,1738846000,ZAR,299433000,ZAR
LTE,Lighthouse Properties Plc,2025-H2,2025-12-31,1039479108.6917901,ZAR,-4108770506.45554,ZAR,2307794260.8491197,ZAR,1032644000,ZAR,6835112.76934712,ZAR
OMN,Omnia Holdings Limited,2025-H1,2025-09-30,3627000000,ZAR,-576000000,ZAR,-2963000000,ZAR,2884000000,ZAR,744000000,ZAR
EQU,Equites Property Fund Ltd ZAR,2025-H1,2025-08-31,957029000,ZAR,921599000,ZAR,-700363000,ZAR,945890000,ZAR,11139000,ZAR
WBC,We Buy Cars Holdings Ltd.,2025-H2,2025-09-30,679161000,ZAR,-642917000,ZAR,-149182000,ZAR,48162000,ZAR,630999000,ZAR
FTA,Fairvest Limited Class A,2025-H2,2025-09-30,923329000,ZAR,-1157965000,ZAR,239197000,ZAR,343040000,ZAR,580289000,ZAR
FTB,Fairvest Limited Class B,2025-H2,2025-09-30,923329000,ZAR,-1157965000,ZAR,239197000,ZAR,343040000,ZAR,580289000,ZAR
MSP,MAS P.L.C.,2026-H1,2025-12-31,2780377242.79101,ZAR,363722317.699416,ZAR,-3752608661.83553,ZAR,2780377240,ZAR,0,ZAR
JSE,JSE Limited,2025-H2,2025-12-31,1253198000,ZAR,-73661000,ZAR,-790552000,ZAR,1218523000,ZAR,139265000,ZAR
SSU,Southern Sun Limited,2025-H1,2025-09-30,1532000000,ZAR,-703000000,ZAR,-694000000,ZAR,906000000,ZAR,658000000,ZAR
HCI,Hosken Consolidated Investments Limited,2025-H1,2025-09-30,3434864000,ZAR,240436000,ZAR,-2264595000,ZAR,2057812000,ZAR,1507009000,ZAR
ISO,"ASP Isotopes, Inc.",2025-Q4,2025-12-31,-629666666.6666667,ZAR,-1499916666.6666667,ZAR,5846683333.333334,ZAR,-790566666.6666667,ZAR,160900000,ZAR
SPP,Spar Group Limited,2025-H2,2025-09-30,4285899999.9999995,ZAR,-901500000,ZAR,-1285400000,ZAR,3377500000,ZAR,908400000,ZAR
ATT,Attacq Limited,2026-H1,2025-12-31,1093989000,ZAR,-487243000,ZAR,-757438000,ZAR,1090772000,ZAR,7136000,ZAR
SUI,Sun International Limited,2025-H2,2025-12-31,2672000000,ZAR,-1004000000,ZAR,-1719000000,ZAR,1434000000,ZAR,1267000000,ZAR
RLO,Reunert Limited,2025-H2,2025-09-30,1265000000,ZAR,-231000000,ZAR,-1143000000,ZAR,1040000000,ZAR,225000000,ZAR
WBO,Wilson Bayly Holmes-Ovcon Limited,2026-H1,2025-12-31,1641882000,ZAR,11241000,ZAR,-946322000,ZAR,1406773000,ZAR,235109000,ZAR
AFE,AECI Ltd,2025-H2,2025-12-31,2469000000,ZAR,1239000000,ZAR,-2035000000,ZAR,1634000000,ZAR,835000000,ZAR
PPC,PPC Limited,2025-H1,2025-09-30,1306000000,ZAR,-413000000,ZAR,-390000000,ZAR,894000000,ZAR,414000000,ZAR
SDO,Stadio Holdings Pty Ltd.,2025-H2,2025-12-31,430779000,ZAR,-282807000,ZAR,-124190000,ZAR,160450000,ZAR,302928000,ZAR
ITE,Italtile Limited,2026-H1,2025-12-31,2286000000,ZAR,-426000000,ZAR,-1964000000,ZAR,1943000000,ZAR,349000000,ZAR
SAC,SA Corporate Real Estate Ltd.,2025-H2,2025-12-31,672221000,ZAR,-101999000,ZAR,-921668000,ZAR,,,0,ZAR
RBX,Raubex Group Limited,2025-H2,2026-02-28,1166660000,ZAR,-1313011000,ZAR,-86754000,ZAR,13844000,ZAR,1167166000,ZAR
AFH,Alexander Forbes Group Holdings Limited,2025-H1,2025-09-30,2816000000,ZAR,-92000000,ZAR,-1020000000,ZAR,2589000000,ZAR,232000000,ZAR
SAP,Sappi Limited,2026-Q2,2026-03-31,2825987311.39547,ZAR,-5548197858.561021,ZAR,3047333187.00031,ZAR,-2662868460,ZAR,5614751969.886169,ZAR
ARL,Astral Foods Limited,2025-H2,2025-09-30,1680766000,ZAR,-258781999.99999997,ZAR,-414893000,ZAR,1354433000,ZAR,328245000,ZAR
CCD,Cell C Holdings Ltd.,2025-H1,2025-11-30,,,,,,,,,,
SSS,Stor-Age Property REIT Ltd.,2025-H1,2025-09-30,587895000,ZAR,-139345000,ZAR,-357324000,ZAR,583814000,ZAR,5362000,ZAR
CLI,Clientele Limited,2026-H1,2025-12-31,-376095000,ZAR,356329000,ZAR,-10391000,ZAR,-409658000,ZAR,42123000,ZAR
THA,Tharisa Plc,2025-H2,2025-09-30,1676604515.0340402,ZAR,-2193082480.20822,ZAR,-313903071.551229,ZAR,-363208630,ZAR,2169103274.41051,ZAR
BAT,Brait PLC,2025-H1,2025-09-30,-51000000,ZAR,0,ZAR,52000000,ZAR,-51000000,ZAR,0,ZAR
AEL,Altron Limited Class A,2025-H1,2025-08-31,1644000000,ZAR,-750000000,ZAR,-1033000000,ZAR,1540000000,ZAR,235000000,ZAR
RCL,RCL Foods Limited,2026-H1,2025-12-31,1535682000,ZAR,-1052935999.9999999,ZAR,-633287000,ZAR,485017000,ZAR,1056320999.9999999,ZAR
BTN,Burstone Group Limited,2025-H1,2025-09-30,429533000,ZAR,4242911000,ZAR,-5388207000,ZAR,429141000,ZAR,30666000,ZAR
OAO,Oando PLC,2025-Q4,2025-12-31,-19058595.500000544,ZAR,-1481993288.3,ZAR,4178293653.7,ZAR,-1127456585.6,ZAR,1610261817.8,ZAR
LSK,"Lesaka Technologies, Inc.",2026-Q3,2026-03-31,521355443.4407445,ZAR,-120307185.75465588,ZAR,-124490955.05945843,ZAR,248505962.52129474,ZAR,360367744.29368824,ZAR
BLU,Blu Label Unlimited Group Ltd,2025-H1,2025-11-30,684451000,ZAR,1640051000,ZAR,-491230000,ZAR,444988000,ZAR,682793000,ZAR
PWR,"PowerFleet, Inc.",2025-Q3,2025-12-31,566533333.3333334,ZAR,-701116666.6666667,ZAR,102650000,ZAR,214566666.6666667,ZAR,694816666.6666667,ZAR
DIB,Dipula Properties Limited Class B,2025-H2,2025-08-31,535138000.00000006,ZAR,-172371000,ZAR,-378930000,ZAR,534674999.99999994,ZAR,463000,ZAR
WVR,Weaver Fintech Ltd.,2025-H2,2025-12-31,-715000000,ZAR,-151000000,ZAR,1042000000,ZAR,-784000000,ZAR,153000000,ZAR
EMI,Emira Property Fund Ltd.,2025-H1,2025-09-30,458368000,ZAR,1793500000,ZAR,-2024695000,ZAR,458628000,ZAR,-260000,ZAR
CAA,CA Sales Holdings (Pty) Ltd.,2025-H2,2025-12-31,775944000,ZAR,-480798000,ZAR,27998000,ZAR,591568000,ZAR,186208000,ZAR
TSG,Tsogo Sun Limited,2025-H1,2025-09-30,2178000000,ZAR,-1036000000,ZAR,-1266000000,ZAR,1345000000,ZAR,846000000,ZAR
KAP,KAP Limited,2026-H1,2025-12-31,2126000000,ZAR,-1068000000,ZAR,-1185000000,ZAR,584000000,ZAR,1547000000,ZAR
OCE,Oceana Group Limited,2025-H2,2025-09-30,959000000,ZAR,-330000000,ZAR,-803000000,ZAR,632000000,ZAR,329000000,ZAR
SEA,Spear REIT Ltd.,2025-H1,2025-08-31,357209000,ZAR,-1112211000,ZAR,1539068000,ZAR,356812000,ZAR,397000,ZAR
SBP,Sabvest Capital Ltd.,2025-H2,2025-12-31,-9153000,ZAR,51057000,ZAR,-41901000,ZAR,-9153000,ZAR,0,ZAR
SPG,Super Group Limited,2026-H1,2025-12-31,2165822000,ZAR,1288732000,ZAR,-8562313000,ZAR,-1072188000.0000001,ZAR,3305295000,ZAR
RBO,Rainbow Chicken Limited,2026-H1,2025-12-31,1524026000,ZAR,-108286000,ZAR,-721172000,ZAR,992299000,ZAR,567373000,ZAR
HDC,Hudaco Industries Limited,2025-H2,2025-11-30,1034088000,ZAR,-405621000,ZAR,-648713000,ZAR,947674000,ZAR,91699000,ZAR
SYG,Sygnia Ltd.,2025-H2,2025-09-30,402035000,ZAR,-28326000,ZAR,-367794000,ZAR,388848000,ZAR,13187000,ZAR
FBR,Famous Brands Limited,2025-H1,2025-08-31,736647000,ZAR,-240552000,ZAR,-518927000,ZAR,492213000,ZAR,262860000,ZAR
AFT,Afrimat Limited,2025-H1,2025-08-31,647036000,ZAR,-264721000,ZAR,13737000,ZAR,-105924000,ZAR,752960000,ZAR
CAT,Caxton and CTP Publishers and Printers Limited,2026-H1,2025-12-31,1175605000,ZAR,-387283000,ZAR,-290128000,ZAR,804511000,ZAR,371094000,ZAR
OCT,Octodec Investments Limited,2026-H1,2026-02-28,452375000,ZAR,89522000,ZAR,-418087000,ZAR,452117000,ZAR,2698000,ZAR
LEW,Lewis Group Limited,2025-H1,2025-09-30,672100000,ZAR,-115800000,ZAR,274200000,ZAR,538500000,ZAR,133600000,ZAR
ACS,Acsion Limited,2025-H1,2025-08-31,814545000,ZAR,-172641000,ZAR,-227889000,ZAR,777273000,ZAR,37272000,ZAR
BEL,Bell Equipment Limited,2025-H2,2025-12-31,1080207000,ZAR,-132894000,ZAR,-499305000,ZAR,928890000,ZAR,151317000,ZAR
MKR,"Montauk Renewables, Inc.",2026-Q1,2026-03-31,631005110.7325383,ZAR,-2379710391.822828,ZAR,1547444633.7308347,ZAR,-1682061328.79046,ZAR,2313066439.5229983,ZAR
NPK,Nampak Limited,2025-H2,2025-09-30,1283200000,ZAR,1214900000,ZAR,-1660100000,ZAR,900300000,ZAR,382900000,ZAR
SUR,Spur Corporation Limited,2026-H1,2025-12-31,391089000,ZAR,-30706000,ZAR,-319869000,ZAR,373156000,ZAR,18102000,ZAR
CPP,Collins Property Group Limited,2025-H1,2025-08-31,368999000,ZAR,-433661000,ZAR,778491000,ZAR,359981000,ZAR,9018000,ZAR
KP2,Kore Potash PLC,2025-H2,2025-12-31,-28741566.102147143,ZAR,-193216802.0384458,ZAR,371364209.85540766,ZAR,-29966667.733333334,ZAR,193216802.0384458,ZAR
CHP,Choppies Enterprises Limited,2026-H1,2025-12-31,747400000,ZAR,-370000000,ZAR,-382333333.3333334,ZAR,415633333.3333334,ZAR,336700000,ZAR
MCZ,MC Mining Ltd,2026-H1,2025-12-31,-155383546.00323036,ZAR,-540701504.7337613,ZAR,707242670.3462267,ZAR,-683233640.125,ZAR,530857367.68432933,ZAR
KAL,KAL Group Limited,2025-H2,2025-09-30,789816000,ZAR,-110501000,ZAR,-693315000,ZAR,657704000,ZAR,132112000,ZAR
MRF,Merafe Resources Limited,2025-H2,2025-12-31,609800000,ZAR,-453539000,ZAR,-301185000,ZAR,163283000,ZAR,446517000,ZAR
MPT,Mpact Limited,2025-H2,2025-12-31,883900000,ZAR,-742600000,ZAR,-219400000,ZAR,140000000,ZAR,743900000,ZAR
IVT,Invicta Holdings Limited,2025-H1,2025-09-30,808173000,ZAR,-201784000,ZAR,-401459000,ZAR,722454000,ZAR,97004000,ZAR
ORN,Orion Minerals Limited,2026-H1,2025-12-31,-105881454.16666667,ZAR,-77434362.5,ZAR,174174491.66666666,ZAR,-108939683.33333333,ZAR,77434362.5,ZAR
SHG,Sea Harvest Group Ltd.,2025-H2,2025-12-31,1416189000,ZAR,-804318000,ZAR,-884333000,ZAR,586677000,ZAR,829512000,ZAR
YYLBEE,YeboYethu Limited,2025-H1,2025-09-30,283830000,ZAR,511000,ZAR,-284245000,ZAR,283830000,ZAR,0,ZAR
CMH,Combined Motor Holdings Limited,2025-H2,2026-02-28,750292000,ZAR,-296321000,ZAR,-262680000,ZAR,-228351000,ZAR,978643000,ZAR
ZZD,Zeda Limited,2025-H2,2025-09-30,-215036000,ZAR,66955000,ZAR,30548000,ZAR,-227221000,ZAR,17640000,ZAR
PPE,Purple Group Limited,2026-H1,2026-02-28,-29743000,ZAR,-74094000,ZAR,775000,ZAR,-34052000,ZAR,65882000.00000001,ZAR
SDL,Southern Palladium Ltd.,2026-H1,2025-12-31,-17965984.270833332,ZAR,-63157403.30416667,ZAR,291600705.3333333,ZAR,-17965928.666666668,ZAR,0,ZAR
